id,source,district,price,size_sqm,bedrooms,property_type,latitude,longitude,first_seen,last_seen,transaction_type,rent_frequency,bathrooms,furnishing,building_name,community,subcommunity,developer,floor,total_floors,parking_spaces,completion_status,year_built,service_charge_aed,amenities,listing_url,agent_name,agency_name,photos_count,title,description_short,verified_flag,scraped_at,price_per_sqm,days_on_market,missing_size_flag,raw_usage,raw_property_type,raw_property_subtype,annual_amount_aed,contract_amount_aed,start_date,end_date
DubaiPulse_DLD_sale_1-102-2004-683,DubaiPulse_DLD,Marina,349819.0,59.43,0,Apartment,,,2010-06-08,2010-06-08,sale,,,,WIND ONE,Al Thanyah Fifth,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.967044+00:00,5886.2359077906785,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-102-2014-5533,DubaiPulse_DLD,Marina,395294.0,31.77,0,Apartment,,,2014-05-29,2014-05-29,sale,,,,WIND ONE,Al Thanyah Fifth,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.967136+00:00,12442.367012905257,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-102-2017-4852,DubaiPulse_DLD,Marina,1160000.0,126.54,0,Apartment,,,2017-02-20,2017-02-20,sale,,,,WIND ONE,Al Thanyah Fifth,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.967228+00:00,9167.061798640745,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-102-2003-62,DubaiPulse_DLD,Marina,427056.0,83.09,0,Apartment,,,2015-08-20,2015-08-20,sale,,,,WIND ONE,Al Thanyah Fifth,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.967320+00:00,5139.679865206403,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-102-2015-18082,DubaiPulse_DLD,Marina,943550.0,107.4,0,Apartment,,,2015-12-23,2015-12-23,sale,,,,WIND ONE,Al Thanyah Fifth,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.967427+00:00,8785.381750465549,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-102-2015-18080,DubaiPulse_DLD,Marina,695713.0,78.82,0,Apartment,,,2015-12-23,2015-12-23,sale,,,,WIND ONE,Al Thanyah Fifth,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.967522+00:00,8826.604922608476,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-102-2016-12316,DubaiPulse_DLD,Marina,620296.0,59.41,0,Apartment,,,2016-09-05,2016-09-05,sale,,,,WIND ONE,Al Thanyah Fifth,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.967613+00:00,10440.93586938226,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-102-2016-4341,DubaiPulse_DLD,Marina,385000.0,30.08,0,Apartment,,,2016-04-19,2016-04-19,sale,,,,WIND ONE,Al Thanyah Fifth,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.967706+00:00,12799.202127659575,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-102-2004-141,DubaiPulse_DLD,Marina,474281.0,84.07,0,Apartment,,,2010-06-07,2010-06-07,sale,,,,WIND ONE,Al Thanyah Fifth,,,,,1.0,off-plan,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.967798+00:00,5641.501130010706,,False,Residential,Unit,Flat,,,,
DubaiPulse_DLD_sale_1-11-2011-11388,DubaiPulse_DLD,Marina,425000.0,49.17,0,Apartment,,,2011-08-01,2011-08-01,sale,,,,LAKE TERRACE,Al Thanyah Fifth,,,,,1.0,,,,,,,,,DLD Sales Transaction Record,,,2026-01-06T20:09:20.967891+00:00,8643.481797844213,,False,Residential,Unit,Flat,,,,
